Parameters:EntityType=OFFLINECONVERSION;TimeZone=-0500;,,,,
Action,Google Click Id,Conversion Name,Conversion Value,Conversion Time
add,CPTY6ZKfk7sCFc07OgoduhAA8A,Lead Sold,1331.64,'12/03/2013 09:00:00 AM' 
add,CPHo5LC7kLsCFa9lOgoddDwATg,Lead Sold,1151.64,'12/03/2013 10:34:00 AM' 
add,CILpmLaLmLsCFYtQOgodIhsAOw,Lead Sold,1511.64,'12/09/2013 05:43:00 PM' 
add,CLeN6ff8m7sCFdFafgodvWAAkQ,Lead Sold,1979.28,'12/06/2013 05:52:00 PM' 
add,CM7L0IGmnrsCFSvl7Aodmy8AzQ,Lead Sold,1547.64,'12/07/2013 10:32:00 AM' 
add,CNbflu3GpbsCFQrxOgodDSMARw,Lead Sold,1547.64,'12/10/2013 09:06:00 AM' 
add,CODd2dfQprsCFclaMgodgWgAKA,Lead Sold,1799.64,'12/10/2013 04:30:00 PM' 
add,CO3fg_uyq7sCFU5o7AodlE0AEw,Lead Sold,1799.64,'12/17/2013 11:17:00 AM' 
add,CLSyuI6nrbsCFcFj7AodMV0AKQ,Lead Sold,1727.28,'12/13/2013 08:50:00 AM' 
add,CNOT8f6urbsCFbFxOgodr3QANw,Lead Sold,1799.64,'12/13/2013 03:30:00 PM' 
add,CMyKv4XZtLsCFTJp7AodJkQAnQ,Lead Sold,1511.64,'12/16/2013 09:36:00 AM' 
add,CKycmObvuLsCFSISMwodEBkAdA,Lead Sold,1151.64,'12/18/2013 11:38:00 AM' 
add,CKGLxL6zvLsCFUgS7AodKnIATQ,Lead Sold,2159.64,'12/19/2013 12:30:00 PM' 
add,CLX9yICEvbsCFY2DQgoddhcAig,Lead Sold,1907.28,'12/19/2013 02:42:00 PM' 
add,CPzChIzCvbsCFdE-MgodfFYA2Q,Lead Sold,1979.28,'12/19/2013 06:51:00 PM' 
add,CJmIoqHiv7sCFSdp7Aod4h4A1w,Lead Sold,1223.64,'12/20/2013 05:39:00 PM' 
add,CN7c7L6twrsCFW0V7Aodb2YAYQ,Lead Sold,2339.28,'12/21/2013 05:02:00 PM' 
add,CIKPtNLjxLsCFcN_QgodG04APQ,Lead Sold,2339.64,'12/29/2013 07:27:00 PM' 
add,CKv0rOyLxbsCFUgS7AodKnIATQ,Lead Sold,1619.64,'12/22/2013 07:23:00 PM' 
add,CMCZ7cLOxrsCFct9OgodaVIARQ,Lead Sold,1619.64,'12/23/2013 10:11:00 AM' 
add,CMqdmMKkx7sCFSEV7AodH2cAvA,Lead Sold,1691.64,'01/14/2014 09:55:00 AM' 
add,COibuLjwx7sCFYZi7AodtXIAOQ,Lead Sold,1619.64,'12/24/2013 11:22:00 AM' 
add,CNqPm7rSzrsCFfPm7Aod_0UAUw,Lead Sold,1511.64,'12/26/2013 02:11:00 PM' 
add,CL7f2JWt0LsCFa9cMgodpXEA2Q,Lead Sold,2051.28,'01/16/2014 07:16:00 PM' 
add,CJXCxbjn0LsCFcFj7AodVh8A1w,Lead Sold,1691.64,'12/27/2013 11:23:00 AM' 
add,CK_EsPe70bsCFaHm7AodQ2IADg,Lead Sold,1007.64,'12/27/2013 05:13:00 PM' 
add,CJmo-NzO0bsCFa4-Mgod7W0AOA,Lead Sold,719.64,'01/10/2014 08:15:00 PM' 
